,prices,meters,number,sq_meters
0,1800000,250,444,7200.0
2,4207806,170,330,24751.8
3,890000,109,110,8165.137614678899
4,1750000,134,265,13059.701492537313
10,980000,105,505,9333.333333333334
12,1800000,133,70,13533.834586466166
17,700000,99,376,7070.707070707071
19,940000,105,505,8952.380952380952
22,690000,90,376,7666.666666666667
26,1750000,135,265,12962.962962962964
27,1150000,105,505,10952.380952380952
32,1750000,135,265,12962.962962962964
36,1800000,250,444,7200.0
38,4207806,170,330,24751.8
39,890000,109,110,8165.137614678899
40,1750000,134,265,13059.701492537313
46,980000,105,505,9333.333333333334
48,1800000,133,70,13533.834586466166
53,700000,99,376,7070.707070707071
55,940000,105,505,8952.380952380952
58,690000,90,376,7666.666666666667
62,1750000,135,265,12962.962962962964
63,1150000,105,505,10952.380952380952
68,1750000,135,265,12962.962962962964
72,1800000,250,444,7200.0
74,4207806,170,330,24751.8
75,890000,109,110,8165.137614678899
76,1750000,134,265,13059.701492537313
82,980000,105,505,9333.333333333334
84,1800000,133,70,13533.834586466166
89,700000,99,376,7070.707070707071
91,940000,105,505,8952.380952380952
94,690000,90,376,7666.666666666667
98,1750000,135,265,12962.962962962964
99,1150000,105,505,10952.380952380952
104,1750000,135,265,12962.962962962964
108,1800000,250,444,7200.0
110,4207806,170,330,24751.8
111,890000,109,110,8165.137614678899
112,1750000,134,265,13059.701492537313
118,980000,105,505,9333.333333333334
120,1800000,133,70,13533.834586466166
125,700000,99,376,7070.707070707071
127,940000,105,505,8952.380952380952
130,690000,90,376,7666.666666666667
134,1750000,135,265,12962.962962962964
135,1150000,105,505,10952.380952380952
140,1750000,135,265,12962.962962962964
144,1800000,250,444,7200.0
146,4207806,170,330,24751.8
147,890000,109,110,8165.137614678899
148,1750000,134,265,13059.701492537313
154,980000,105,505,9333.333333333334
156,1800000,133,70,13533.834586466166
161,700000,99,376,7070.707070707071
163,940000,105,505,8952.380952380952
166,690000,90,376,7666.666666666667
170,1750000,135,265,12962.962962962964
171,1150000,105,505,10952.380952380952
176,1750000,135,265,12962.962962962964
180,1800000,250,444,7200.0
182,4207806,170,330,24751.8
183,890000,109,110,8165.137614678899
184,1750000,134,265,13059.701492537313
190,980000,105,505,9333.333333333334
192,1800000,133,70,13533.834586466166
197,700000,99,376,7070.707070707071
199,940000,105,505,8952.380952380952
202,690000,90,376,7666.666666666667
206,1750000,135,265,12962.962962962964
207,1150000,105,505,10952.380952380952
212,1750000,135,265,12962.962962962964
216,1800000,250,444,7200.0
218,4207806,170,330,24751.8
219,890000,109,110,8165.137614678899
220,1750000,134,265,13059.701492537313
226,980000,105,505,9333.333333333334
228,1800000,133,70,13533.834586466166
233,700000,99,376,7070.707070707071
235,940000,105,505,8952.380952380952
238,690000,90,376,7666.666666666667
242,1750000,135,265,12962.962962962964
243,1150000,105,505,10952.380952380952
248,1750000,135,265,12962.962962962964
